Appendix — 35_lib_usecases,,,,,,,,,,,,,,,,,,,
Copied from the latest tailored AI Readiness content pack.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
usecase_id,usecase_name,usecase_description,department,workflow_name,workflow_trigger,operational_pain_point,ai_type,primary_user_role,main_input_data,output_or_action,human_review_required,review_owner,integration_point,business_value_driver,core_success_metric,workflow_volume,risk_class,readiness_prerequisite,recommended_phase
UC-001,Lead Qualification Assistant,"Screens inbound leads against ICP rules, source quality, budget/timeline clues, and response urgency so sales only chases leads worth fast follow-up.",Sales / Marketing,Inbound lead qualification,"New form fill, website enquiry, WhatsApp lead, or SDR handoff",Sales teams spend too much time reading weak leads manually and good leads wait too long for first response.,Classify / Assist,Sales Manager or SDR,"Lead form fields, source campaign, website notes, prior contact history","Priority score, qualification summary, next-step recommendation, and owner routing",Yes,Sales Manager,CRM lead record and assignment workflow,Higher lead-to-opportunity conversion and faster speed-to-lead,Qualified lead rate and median first-response time,High,Medium,"Lead source fields, ICP rules, and routing owners must already be defined",Phase 3
UC-002,Outbound Personalization Drafting Assistant,"Creates first-draft outreach emails or LinkedIn messages using account context, industry pain points, and recent buyer signals.",Sales / Marketing,Outbound prospecting,Rep selects account/contact for outreach,Reps lose time writing repetitive first-touch messages and quality varies heavily by seller.,Generate / Assist,SDR / Account Executive,"CRM account data, website summary, campaign angle, rep notes","Personalized outreach draft with subject line, opening hook, and CTA",Yes,Sales Lead,"CRM, sales engagement platform, or email draft workflow",More meetings booked per rep hour and stronger outbound consistency,Meeting-booked rate from outbound and draft acceptance/edit ratio,Medium to High,Low,Core account/contact data and approved messaging guardrails must exist,Phase 3
UC-003,Proposal and SOW Drafting Copilot,"Builds first-draft proposals, statements of work, or scope summaries from discovery notes, pricing inputs, and standard service components.",Sales / Professional Services,Proposal creation,Opportunity enters proposal stage or scope revision requested,"Proposal turnaround is slow, senior staff rewrite similar scopes repeatedly, and pricing context gets lost between teams.",Generate / Retrieve,Account Executive or Solutions Lead,"Discovery notes, approved service catalogue, pricing assumptions, case studies, templates","Proposal draft, scope summary, assumptions list, and missing-input prompts",Yes,Solutions Lead,"Proposal template, document workspace, and CRM opportunity record",Faster proposal turnaround with less senior delivery time consumed,Proposal cycle time and win-rate on proposals delivered within SLA,Medium,Medium,"Approved proposal templates, service catalogue, and pricing logic must be current",Phase 3
UC-004,Meeting Summary and Action Capture Assistant,"Summarizes internal or client meetings into decisions, owners, risks, and next actions that can be pushed into task workflows.",Cross-Functional,Meeting follow-up,Meeting transcript or notes become available,"Teams lose actions after meetings, notes are inconsistent, and follow-up depends on whoever took the best notes.",Summarize / Assist,Team Lead or Project Manager,"Meeting transcript, calendar metadata, agenda, manual notes","Decision summary, action list, owner assignments, and unresolved-question log",Yes,Meeting Owner,"Meeting platform, project tool, or task tracker",Less follow-up leakage and faster execution after meetings,Action completion rate and time from meeting end to action circulation,High,Low,Meeting recording/transcript access and action-owner conventions must exist,Phase 3
UC-005,Support Ticket Triage and Routing Assistant,"Reads new support requests, classifies issue type and urgency, and routes the case to the correct queue with a recommended first response.",Customer Support,Ticket intake triage,"New email, portal ticket, or chat escalation is created","Support teams waste time manually sorting tickets, urgent issues are missed, and queue quality depends on agent experience.",Classify / Assist,Support Team Lead,"Ticket text, customer tier, product/service context, prior case history","Issue category, urgency flag, queue routing, and suggested acknowledgement draft",Yes,Support Team Lead,"Helpdesk queue, inbox routing rules, or CRM case module",Lower first-response delays and better queue quality,First-response SLA attainment and misroute rate,High,Medium,"Ticket categories, escalation rules, and queue ownership must already be defined",Phase 3
UC-006,Knowledge Retrieval Assistant,"Answers internal staff questions using approved SOPs, policy documents, service playbooks, and common issue resolutions.",Operations / Support / HR,Internal knowledge retrieval,"User asks a policy, SOP, or process question","Staff rely on tribal knowledge, search across scattered files, or interrupt senior team members for routine answers.",Retrieve / Assist,Any operational user,"Approved SOPs, FAQs, policy docs, service manuals, templates",Contextual answer with cited source document snippets and escalation cue if confidence is low,Yes,Knowledge Owner,"Chat interface, intranet, or internal help workflow",Less interruption of senior staff and faster task execution,Question resolution time and reduction in repeat internal queries,High,Medium,"Source documents must be current, approved, and access-controlled",Phase 3
UC-007,Customer Onboarding Document Review Assistant,"Checks onboarding packs for missing documents, inconsistent fields, or obvious handoff risks before the team moves the client live.",Operations / Customer Success,Onboarding pack review,Customer submits onboarding forms or compliance documents,"Onboarding teams manually check packs line by line, miss missing items, and discover problems late in the process.",Classify / Extract / Assist,Onboarding Coordinator,"Application forms, contracts, ID/compliance docs, implementation checklist","Missing-item checklist, inconsistency flags, and readiness status suggestion",Yes,Onboarding Manager,Client onboarding checklist and case workflow,Shorter onboarding cycle time and fewer late-stage rework loops,First-pass completeness rate and onboarding cycle time,Medium,High,"Document checklist, acceptance rules, and human approval steps must be clear",Phase 3
UC-008,Invoice and Remittance Query Classification Assistant,"Classifies inbound accounts-receivable emails into dispute, remittance, proof-of-delivery, copy-invoice, or payment-delay types and suggests the right next queue.",Finance / Accounts Receivable,AR inbox triage,Customer finance email arrives in shared AR inbox,Finance staff spend time manually reading repetitive emails and urgent cash-impacting issues are not surfaced early enough.,Classify / Assist,AR Specialist,"Inbound email, invoice reference, account status, prior dispute history","Query type, priority flag, next-owner queue, and response guidance",Yes,AR Manager,"Shared finance inbox, AR case board, or ERP notes",Faster cash-resolution workflow and reduced inbox backlog,Inbox aging and average resolution time for payment-related queries,High,Medium,Common query categories and escalation rules must already be agreed,Phase 3
UC-009,Collections Prioritization Assistant,"Ranks overdue accounts by likelihood of recovery, customer risk, and urgency so teams focus attention where cash impact is highest.",Finance / Credit Control,Collections prioritization,Daily or weekly overdue debtor review,"Collectors often work the debtor list oldest-first instead of highest-impact-first, leaving easy cash and high-risk debt unattended.",Predict / Assist,Credit Controller,"Aging data, payment history, dispute status, customer tier, promise-to-pay notes","Priority queue, recovery rationale, and recommended follow-up style",Yes,Credit Manager,"AR aging report, collector worklist, or CRM notes",Better cash collection focus and lower aged debt buildup,Cash collected from prioritized accounts and reduction in >90-day debt,Medium,High,Clean aging data and collector action history must exist,Phase 4
UC-010,Forecast Commentary Generator,"Turns pipeline, bookings, revenue, margin, or operational KPI movements into leadership-ready commentary that explains what changed and why it matters.",Finance / RevOps / Leadership,Management forecast reporting,Weekly or monthly reporting cycle begins,"Analysts spend hours rewriting commentary that repeats similar themes, while leadership still wants a clear narrative not just numbers.",Summarize / Generate,FP&A Analyst or RevOps Lead,"KPI tables, pipeline data, budget vs actuals, prior period comparisons","Narrative summary, variance commentary, and follow-up questions for review",Yes,FP&A Lead,"Reporting pack, BI output, or board update draft",Faster management reporting with more consistent interpretation of variances,Reporting cycle time and percentage of commentary accepted with minor edits,Medium,Low,Baseline KPI definitions and clean source reports must already exist,Phase 3
UC-011,Sales Call Review and Deal Risk Assistant,"Reviews sales-call transcripts to surface buying signals, objections, competitor mentions, missing next steps, and deal-risk themes for coaching.",Sales,Deal inspection and coaching,Sales call recording or note capture completed,"Managers cannot review every call, coaching quality is uneven, and deal risk often shows up too late in pipeline review.",Classify / Summarize / Assist,Sales Manager,"Call transcript, opportunity stage, CRM notes, competitor list","Coaching summary, deal-risk note, objection themes, and next-step gap flag",Yes,Sales Manager,Conversation-intelligence tool or CRM opportunity notes,Improved deal inspection quality and better manager coaching leverage,Manager review coverage and late-stage deal slippage rate,Medium,Medium,Call recording/transcription and stage definitions must exist,Phase 4
UC-012,Renewal and Churn Risk Review Assistant,"Reviews customer signals to flag renewals at risk, summarize likely causes, and prompt the success team on the best intervention path.",Customer Success,Renewal risk review,Monthly renewal review or trigger event on customer account,Success teams often find risk too late and account reviews depend on whoever knows the customer best.,Predict / Summarize / Assist,Customer Success Manager,"Usage trends, support history, NPS/feedback, invoice/payment signals, renewal date","Risk summary, likely churn drivers, and recommended intervention type",Yes,CS Manager,"CSM account review, CRM renewal board, or customer health dashboard",Earlier intervention on risky renewals and better retention focus,Renewal save rate and percentage of at-risk accounts identified 30+ days early,Medium,High,Customer health indicators and renewal ownership model must exist,Phase 4
UC-013,Internal SOP and Policy Assistant,"Guides staff through approved internal processes such as leave, procurement, incident logging, or service handoffs using current policy language.",Operations / HR,Policy and procedure guidance,User asks how to complete a governed internal task,"Teams interpret policies differently, compliance steps get skipped, and managers answer the same questions repeatedly.",Retrieve / Assist,Any internal user,"Approved policy documents, SOPs, checklists, forms, approval matrix","Step-by-step guidance, required documents, and escalation point if exception applies",Yes,Process Owner,"Internal portal, HR helpdesk, or workflow launcher",Fewer policy deviations and faster completion of governed tasks,Policy-related query resolution time and reduction in process rework,Medium,Medium,"Policies must be approved, current, and version-controlled",Phase 3
UC-014,Operational Exception Detection Assistant,"Flags orders, jobs, or service cases that break expected patterns such as missing fields, unusual delays, repeated rework, or breached handoffs.",Operations,Exception monitoring,Scheduled review of operational pipeline or live transaction event,Operational issues are noticed only after a customer complains or a manager manually spots a pattern in spreadsheets.,Detect / Assist,Operations Manager,"Order/job data, timestamps, status history, handoff logs, exception codes","Exception alert, likely root-cause hypothesis, and recommended follow-up owner",Yes,Operations Manager,"Ops dashboard, workflow queue, or service board",Fewer silent failures and quicker intervention on service leakage,Exception resolution time and reduction in reopened/reworked cases,High,Medium,Workflow timestamps and status definitions must be reliable,Phase 4
UC-015,Management Reporting Narrative Generator,"Builds a concise executive narrative from multiple functional updates so leadership sees the operating story, not only disconnected department notes.",Executive / Finance / Operations,Leadership reporting synthesis,Weekly exco pack or monthly ops review is assembled,"Leaders receive disconnected updates, report assembly is manual, and the same consolidation work is repeated every cycle.",Summarize / Generate,Chief of Staff or COO,"Department updates, KPI dashboards, issue logs, project status notes","Executive summary, key decisions required, top risks, and cross-functional dependencies",Yes,COO or Chief of Staff,"Leadership pack, board memo, or operating review workflow",Less reporting friction and faster leadership decision-making,Time to produce exco pack and number of report revision cycles,Medium,Low,Department update cadence and KPI source pack must already exist,Phase 3
