metric_id,domain_id,workflow_id,workflow_name,metric_name,metric_role,metric_category,definition,formula,unit,frequency,owner_role,priority,applicability,source_hint,target_guidance,rag_red,rag_amber,rag_green,why_it_matters,evidence_strength,target_basis,progress_use,baseline_value,baseline_date,target_value,current_value,variance_to_target,trend_direction,rag_status
KM-D01-01,D01,WF-D01-01,Strategy and Growth Planning,On-time planning cycle completion,Primary,Control,Percentage of planning cycles completed by the agreed deadline.,Planning cycles completed on time / total planning cycles,%,Monthly/Quarterly,Executive Leadership,Core,Universal,Planning calendar / PMO tracker,95%+ on-time,<85%,85%-94.9%,>=95%,Primary progress metric for strategy and growth planning. It gives an objective read on whether this workflow is improving after the audit.,Medium-High,"Use internal target first, then industry benchmark where available",Primary progress KPI,,,,,,,
KM-D01-02,D01,WF-D01-02,Customer and Segment Definition,Qualified lead rate by segment,Primary,Demand,Percentage of leads in each target segment that meet qualification criteria.,Qualified leads in segment / total leads in segment,%,Monthly,Executive Leadership,Core,Universal,CRM / marketing automation,By segment benchmark,Below target,Near target,At or above target,Primary progress metric for customer and segment definition. It gives an objective read on whether this workflow is improving after the audit.,Medium,"Use internal target first, then industry benchmark where available",Primary progress KPI,,,,,,,
KM-D01-03,D01,WF-D01-03,Offer and Service Design,Gross margin by offer,Primary,Performance,Gross margin generated by each offer or service line.,(Offer revenue - direct delivery cost) / offer revenue,%,Monthly,Executive Leadership,Core,Universal,Finance / PSA / ERP,At or above target margin,Below target by >5 pts,Within 5 pts of target,At or above target,Primary progress metric for offer and service design. It gives an objective read on whether this workflow is improving after the audit.,High,"Use internal target first, then industry benchmark where available",Primary progress KPI,,,,,,,
KM-D01-04,D01,WF-D01-04,Pricing Model Design,Average discount to list,Primary,Leakage,Average discount granted against list price or standard commercial terms.,Total discounts / total gross quoted value,%,Monthly,Executive Leadership,Core,Universal,CRM / CPQ / quoting tool,Within approved pricing guardrails,Above pricing threshold,Near threshold,Within guardrails,Primary progress metric for pricing model design. It gives an objective read on whether this workflow is improving after the audit.,High,"Use internal target first, then industry benchmark where available",Primary progress KPI,,,,,,,
KM-D01-05,D01,WF-D01-05,Accountability and Ownership,Open issue aging,Primary,Control,Average age of unresolved operational issues or decisions.,Average(today - issue open date),Days,Weekly,Executive Leadership,Core,Universal,Issue log / project tracker,Trend down within SLA,Above SLA by >20%,Within 20% of SLA,Within SLA,Primary progress metric for accountability and ownership. It gives an objective read on whether this workflow is improving after the audit.,Medium-High,"Use internal target first, then industry benchmark where available",Primary progress KPI,,,,,,,
KM-D01-06,D01,WF-D01-06,Management Cadence,Meeting adherence,Primary,Control,Percentage of scheduled review or governance meetings held as planned.,Meetings held / meetings scheduled,%,Weekly/Monthly,Executive Leadership,Core,Universal,Calendar / meeting tracker,95%+ adherence,<85%,85%-94.9%,>=95%,Primary progress metric for management cadence. It gives an objective read on whether this workflow is improving after the audit.,Medium-High,"Use internal target first, then industry benchmark where available",Primary progress KPI,,,,,,,
KM-D01-07,D01,WF-D01-07,Data and Reporting Setup,Report timeliness,Primary,Control,Percentage of scheduled reports delivered on time.,Reports delivered on time / reports scheduled,%,Weekly/Monthly,Executive Leadership,Core,Universal,BI tool / reporting pack,95%+ on-time,<90%,90%-94.9%,>=95%,Primary progress metric for data and reporting setup. It gives an objective read on whether this workflow is improving after the audit.,Medium-High,"Use internal target first, then industry benchmark where available",Primary progress KPI,,,,,,,
KM-D01-08,D01,WF-D01-08,Systems Landscape,Integration failure rate,Primary,System,Percentage of system integrations or sync jobs that fail.,Failed syncs / total syncs,%,Daily/Weekly,Executive Leadership,Core,Universal,Integration logs / middleware,As low as possible,>3%,1%-3%,<1%,Primary progress metric for systems landscape. It gives an objective read on whether this workflow is improving after the audit.,Medium,"Use internal target first, then industry benchmark where available",Primary progress KPI,,,,,,,
KM-D02-01,D02,WF-D02-01,Marketing Planning,On-time planning cycle completion,Primary,Control,Percentage of planning cycles completed by the agreed deadline.,Planning cycles completed on time / total planning cycles,%,Monthly/Quarterly,Marketing Leadership,Core,Universal,Planning calendar / PMO tracker,95%+ on-time,<85%,85%-94.9%,>=95%,Primary progress metric for marketing planning. It gives an objective read on whether this workflow is improving after the audit.,Medium-High,"Use internal target first, then industry benchmark where available",Primary progress KPI,,,,,,,
KM-D02-02,D02,WF-D02-02,Campaign Execution,MQL volume,Primary,Demand,Total marketing qualified leads created in the period.,Count of MQLs,Count,Weekly,Marketing Leadership,Core,Universal,CRM / marketing automation,Target based on channel plan and pipeline requirement,<80% of plan,80%-99% of plan,>=100% of plan,Primary progress metric for campaign execution. It gives an objective read on whether this workflow is improving after the audit.,Medium,"Use internal target first, then industry benchmark where available",Primary progress KPI,,,,,,,
KM-D02-03,D02,WF-D02-03,Inbound Capture,Speed to lead,Primary,Demand,Average time taken to respond to a new inbound lead.,Average(first response timestamp - lead creation timestamp),Minutes/Hours,Daily/Weekly,Marketing Leadership,Core,Universal,CRM / call system,Within defined SLA,Above SLA by >20%,Within 20% of SLA,Within SLA,Primary progress metric for inbound capture. It gives an objective read on whether this workflow is improving after the audit.,Medium,"Use internal target first, then industry benchmark where available",Primary progress KPI,,,,,,,
KM-D02-04,D02,WF-D02-04,Outbound Prospecting,Connect rate,Primary,Demand,Percentage of outbound attempts that result in a live conversation or reply.,Successful connects / outbound attempts,%,Weekly,Marketing Leadership,Core,Universal,Sales engagement platform,By channel benchmark,Below benchmark by >20%,Within 20% of benchmark,At or above benchmark,Primary progress metric for outbound prospecting. It gives an objective read on whether this workflow is improving after the audit.,Medium,"Use internal target first, then industry benchmark where available",Primary progress KPI,,,,,,,
KM-D02-05,D02,WF-D02-05,Lead Qualification,Qualification-to-win rate,Primary,Sales,Percentage of qualified opportunities that ultimately close won.,Closed won deals / qualified opportunities,%,Monthly,Marketing Leadership,Core,Universal,CRM,By segment benchmark,Below target,Near target,At or above target,Primary progress metric for lead qualification. It gives an objective read on whether this workflow is improving after the audit.,Medium,"Use internal target first, then industry benchmark where available",Primary progress KPI,,,,,,,
KM-D02-06,D02,WF-D02-06,Lead Routing and Handoff,Handoff SLA attainment,Primary,Control,Percentage of handoffs completed within the agreed SLA and quality standard.,Compliant handoffs / total handoffs,%,Weekly,Marketing Leadership,Core,Universal,CRM / PSA / workflow tracker,95%+ handoff compliance,<90%,90%-94.9%,>=95%,Primary progress metric for lead routing and handoff. It gives an objective read on whether this workflow is improving after the audit.,Medium-High,"Use internal target first, then industry benchmark where available",Primary progress KPI,,,,,,,
KM-D03-01,D03,WF-D03-01,Discovery and Qualification,Qualification-to-win rate,Primary,Sales,Percentage of qualified opportunities that ultimately close won.,Closed won deals / qualified opportunities,%,Monthly,Sales Leadership,Core,Universal,CRM,By segment benchmark,Below target,Near target,At or above target,Primary progress metric for discovery and qualification. It gives an objective read on whether this workflow is improving after the audit.,Medium,"Use internal target first, then industry benchmark where available",Primary progress KPI,,,,,,,
KM-D03-02,D03,WF-D03-02,Opportunity Management,Stage conversion,Primary,Sales,Percentage of opportunities moving successfully from one sales stage to the next.,Opportunities entering next stage / opportunities in prior stage,%,Weekly,Sales Leadership,Core,Universal,CRM,By stage benchmark,Below target,Near target,At or above target,Primary progress metric for opportunity management. It gives an objective read on whether this workflow is improving after the audit.,Medium,"Use internal target first, then industry benchmark where available",Primary progress KPI,,,,,,,
KM-D03-03,D03,WF-D03-03,Proposal and Quoting,Quote turnaround time,Primary,Sales,Average time to issue a proposal or quote after request or qualification.,Average(quote sent date - quote request/qualification date),Hours/Days,Weekly,Sales Leadership,Core,Universal,CRM / CPQ / quoting tool,Within agreed SLA,Above SLA by >20%,Within 20% of SLA,Within SLA,Primary progress metric for proposal and quoting. It gives an objective read on whether this workflow is improving after the audit.,Medium,"Use internal target first, then industry benchmark where available",Primary progress KPI,,,,,,,
KM-D03-04,D03,WF-D03-04,Pricing and Discount Approval,Approval turnaround,Primary,Control,"Average time taken to approve pricing, deals, or governance requests.",Average(approval date - request date),Hours/Days,Weekly,Sales Leadership,Core,Universal,CRM / approvals log / workflow tool,Within agreed SLA,Above SLA by >20%,Within 20% of SLA,Meets or beats SLA,Primary progress metric for pricing and discount approval. It gives an objective read on whether this workflow is improving after the audit.,Medium-High,"Use internal target first, then industry benchmark where available",Primary progress KPI,,,,,,,
KM-D03-05,D03,WF-D03-05,Stakeholder Access,Multi-threaded deal rate,Primary,Sales,Percentage of active deals with access to multiple stakeholder groups or decision makers.,Multi-threaded deals / active qualified deals,%,Weekly,Sales Leadership,Core,Universal,CRM,Higher is better for complex deals,Below target,Near target,At or above target,Primary progress metric for stakeholder access. It gives an objective read on whether this workflow is improving after the audit.,Medium,"Use internal target first, then industry benchmark where available",Primary progress KPI,,,,,,,
KM-D03-06,D03,WF-D03-06,Follow-Up Management,Stage conversion,Primary,Sales,Percentage of opportunities moving successfully from one sales stage to the next.,Opportunities entering next stage / opportunities in prior stage,%,Weekly,Sales Leadership,Core,Universal,CRM,By stage benchmark,Below target,Near target,At or above target,Primary progress metric for follow-up management. It gives an objective read on whether this workflow is improving after the audit.,Medium,"Use internal target first, then industry benchmark where available",Primary progress KPI,,,,,,,
KM-D03-07,D03,WF-D03-07,Deal Review Cadence,Meeting adherence,Primary,Control,Percentage of scheduled review or governance meetings held as planned.,Meetings held / meetings scheduled,%,Weekly/Monthly,Sales Leadership,Core,Universal,Calendar / meeting tracker,95%+ adherence,<85%,85%-94.9%,>=95%,Primary progress metric for deal review cadence. It gives an objective read on whether this workflow is improving after the audit.,Medium-High,"Use internal target first, then industry benchmark where available",Primary progress KPI,,,,,,,
KM-D03-08,D03,WF-D03-08,Closing Process,Close-plan completion,Primary,Control,Percentage of priority deals with a documented and active close plan.,Deals with close plan / late-stage deals,%,Weekly,Sales Leadership,Core,Universal,CRM,90%+ for late-stage deals,<75%,75%-89.9%,>=90%,Primary progress metric for closing process. It gives an objective read on whether this workflow is improving after the audit.,Medium-High,"Use internal target first, then industry benchmark where available",Primary progress KPI,,,,,,,
KM-D04-01,D04,WF-D04-01,Sales-to-Delivery Handoff,Handoff SLA attainment,Primary,Control,Percentage of handoffs completed within the agreed SLA and quality standard.,Compliant handoffs / total handoffs,%,Weekly,Operations / Delivery Leadership,Core,Services / Project / Operations,CRM / PSA / workflow tracker,95%+ handoff compliance,<90%,90%-94.9%,>=95%,Primary progress metric for sales-to-delivery handoff. It gives an objective read on whether this workflow is improving after the audit.,Medium-High,Use business-model benchmark and internal target,Primary progress KPI,,,,,,,
KM-D04-02,D04,WF-D04-02,Onboarding / Implementation,Time to go-live,Primary,Delivery,Average time from contract or kickoff to go-live / onboarding completion.,Average(go-live date - contract/kickoff date),Days,Monthly,Operations / Delivery Leadership,Core,Services / Project / Operations,PSA / onboarding tracker,Trend down within standard,Above standard by >20%,Within 20% of standard,At or below standard,Primary progress metric for onboarding / implementation. It gives an objective read on whether this workflow is improving after the audit.,Medium,Use business-model benchmark and internal target,Primary progress KPI,,,,,,,
KM-D04-03,D04,WF-D04-03,Project Delivery,On-time delivery,Primary,Performance,Percentage of deliveries or projects completed on or before the committed date.,On-time completed jobs / total completed jobs,%,Weekly,Operations / Delivery Leadership,Core,Services / Project / Operations,PSA / project tracker / ERP,95%+ on-time,<90%,90%-94.9%,>=95%,Primary progress metric for project delivery. It gives an objective read on whether this workflow is improving after the audit.,High,Use business-model benchmark and internal target,Primary progress KPI,,,,,,,
KM-D04-04,D04,WF-D04-04,Service Operations,First response time,Primary,Service,Average time to first response on a service request or incident.,Average(first response timestamp - ticket open timestamp),Minutes/Hours,Daily/Weekly,Operations / Delivery Leadership,Core,Services / Project / Operations,Service desk / ticketing,Within SLA,Above SLA by >20%,Within 20% of SLA,Within SLA,Primary progress metric for service operations. It gives an objective read on whether this workflow is improving after the audit.,Medium,Use business-model benchmark and internal target,Primary progress KPI,,,,,,,
KM-D04-05,D04,WF-D04-05,Resource Planning,Utilization,Primary,Performance,Percentage of available capacity spent on productive work.,Productive hours / available hours,%,Weekly,Operations / Delivery Leadership,Core,Services / Project / Operations,PSA / timesheets / resource planning,By role or delivery model,Below target,Near target,At or above target,Primary progress metric for resource planning. It gives an objective read on whether this workflow is improving after the audit.,High,Use business-model benchmark and internal target,Primary progress KPI,,,,,,,
KM-D04-06,D04,WF-D04-06,SLA Management,SLA attainment,Primary,Control,Percentage of service commitments delivered within SLA.,SLA-compliant service events / total SLA events,%,Weekly,Operations / Delivery Leadership,Core,Services / Project / Operations,PSA / ticketing / service desk,95%+ typical,<90%,90%-94.9%,>=95%,Primary progress metric for sla management. It gives an objective read on whether this workflow is improving after the audit.,Medium-High,Use business-model benchmark and internal target,Primary progress KPI,,,,,,,
KM-D04-07,D04,WF-D04-07,Quality Assurance,Defect rate,Primary,Quality,Percentage of delivered outputs with identified defects.,Defective outputs / total outputs delivered,%,Weekly,Operations / Delivery Leadership,Core,Services / Project / Operations,QA log / project tracker,Trend down; first-time-right target,Above defect threshold,Near threshold,At or below threshold,Primary progress metric for quality assurance. It gives an objective read on whether this workflow is improving after the audit.,Medium,Use business-model benchmark and internal target,Primary progress KPI,,,,,,,
KM-D04-08,D04,WF-D04-08,Change and Scope Control,Approved change rate,Primary,Control,Percentage of scope changes formally approved before execution.,Approved change requests / total change requests,%,Weekly,Operations / Delivery Leadership,Core,Services / Project / Operations,PSA / project change log,95%+ formal approval,<85%,85%-94.9%,>=95%,Primary progress metric for change and scope control. It gives an objective read on whether this workflow is improving after the audit.,Medium-High,Use business-model benchmark and internal target,Primary progress KPI,,,,,,,
KM-D05-01,D05,WF-D05-01,Billable Event Definition,Billable event capture rate,Primary,Leakage,Percentage of completed billable events captured accurately for billing.,Captured billable events / total billable events,%,Weekly,Finance / Billing Operations,Core,Billing-heavy / Services / Recurring,PSA / ERP / operations log,98%+ capture,<95%,95%-97.9%,>=98%,Primary progress metric for billable event definition. It gives an objective read on whether this workflow is improving after the audit.,High,Use business-model benchmark and internal target,Primary progress KPI,,,,,,,
KM-D05-02,D05,WF-D05-02,Delivery-to-Billing Trigger,Billable event capture rate,Primary,Leakage,Percentage of completed billable events captured accurately for billing.,Captured billable events / total billable events,%,Weekly,Finance / Billing Operations,Core,Billing-heavy / Services / Recurring,PSA / ERP / operations log,98%+ capture,<95%,95%-97.9%,>=98%,Primary progress metric for delivery-to-billing trigger. It gives an objective read on whether this workflow is improving after the audit.,High,Use business-model benchmark and internal target,Primary progress KPI,,,,,,,
KM-D05-03,D05,WF-D05-03,Usage / Timesheet Capture,Timesheet compliance,Primary,Control,Percentage of required timesheets submitted on time and in full.,Compliant timesheets / required timesheets,%,Weekly,Finance / Billing Operations,Core,Billing-heavy / Services / Recurring,PSA / timesheets,98%+ compliance,<95%,95%-97.9%,>=98%,Primary progress metric for usage / timesheet capture. It gives an objective read on whether this workflow is improving after the audit.,Medium-High,Use business-model benchmark and internal target,Primary progress KPI,,,,,,,
KM-D05-04,D05,WF-D05-04,Billing Setup,Setup accuracy,Primary,Quality,Percentage of billing setups completed correctly first time.,Accurate setups / total setups completed,%,Weekly,Finance / Billing Operations,Core,Billing-heavy / Services / Recurring,ERP / billing setup QA,98%+ first-time accuracy,<95%,95%-97.9%,>=98%,Primary progress metric for billing setup. It gives an objective read on whether this workflow is improving after the audit.,Medium,Use business-model benchmark and internal target,Primary progress KPI,,,,,,,
KM-D05-05,D05,WF-D05-05,Invoice Generation,Invoice-on-time rate,Primary,Cash,Percentage of invoices issued on or before the expected billing date.,Invoices issued on time / total invoices due,%,Weekly,Finance / Billing Operations,Core,Billing-heavy / Services / Recurring,ERP / billing system,95%+ on-time,<90%,90%-94.9%,>=95%,Primary progress metric for invoice generation. It gives an objective read on whether this workflow is improving after the audit.,High,Use business-model benchmark and internal target,Primary progress KPI,,,,,,,
KM-D05-06,D05,WF-D05-06,Invoice Review and Release,Invoice-on-time rate,Primary,Cash,Percentage of invoices issued on or before the expected billing date.,Invoices issued on time / total invoices due,%,Weekly,Finance / Billing Operations,Core,Billing-heavy / Services / Recurring,ERP / billing system,95%+ on-time,<90%,90%-94.9%,>=95%,Primary progress metric for invoice review and release. It gives an objective read on whether this workflow is improving after the audit.,High,Use business-model benchmark and internal target,Primary progress KPI,,,,,,,
KM-D05-07,D05,WF-D05-07,Credit Note Management,Credit note value,Primary,Leakage,Value of credit notes issued in the period.,Sum(credit note value),Currency,Monthly,Finance / Billing Operations,Core,Billing-heavy / Services / Recurring,ERP,Trend down; low as % of invoiced value,Above threshold,Near threshold,At or below threshold,Primary progress metric for credit note management. It gives an objective read on whether this workflow is improving after the audit.,High,Use business-model benchmark and internal target,Primary progress KPI,,,,,,,
KM-D05-08,D05,WF-D05-08,Billing Dispute Handling,Credit note value,Primary,Leakage,Value of credit notes issued in the period.,Sum(credit note value),Currency,Monthly,Finance / Billing Operations,Core,Billing-heavy / Services / Recurring,ERP,Trend down; low as % of invoiced value,Above threshold,Near threshold,At or below threshold,Primary progress metric for billing dispute handling. It gives an objective read on whether this workflow is improving after the audit.,High,Use business-model benchmark and internal target,Primary progress KPI,,,,,,,
KM-D06-01,D06,WF-D06-01,Credit Control,Over-limit exposure,Primary,Cash,Value or percentage of receivables above approved credit limits.,Over-limit receivables / total receivables,Currency / %,Weekly,Finance / Credit Control,Core,Universal,ERP / credit control,Minimal exposure,Above threshold,Near threshold,At or below threshold,Primary progress metric for credit control. It gives an objective read on whether this workflow is improving after the audit.,High,"Use internal target first, then industry benchmark where available",Primary progress KPI,,,,,,,
KM-D06-02,D06,WF-D06-02,Payment Terms Setup,Average payment terms,Primary,Cash,Weighted average payment terms granted to customers.,Sum(invoice value * payment term days) / total invoice value,Days,Monthly,Finance / Credit Control,Core,Universal,ERP / billing system,Aligned to policy terms,Policy+15 days or worse,Policy+1 to +14 days,At or better than policy,Primary progress metric for payment terms setup. It gives an objective read on whether this workflow is improving after the audit.,High,"Use internal target first, then industry benchmark where available",Primary progress KPI,,,,,,,
KM-D06-03,D06,WF-D06-03,Collections Follow-Up,Days Sales Outstanding (DSO),Primary,Cash,Average number of days to collect receivables after invoicing.,(Accounts receivable / credit sales) * days in period,Days,Monthly,Finance / Credit Control,Core,Universal,ERP / AR ledger,Lower is better; trend down quarter-on-quarter,>75,46-75,<=45,Primary progress metric for collections follow-up. It gives an objective read on whether this workflow is improving after the audit.,High,"Use internal target first, then industry benchmark where available",Primary progress KPI,,,,,,,
KM-D06-04,D06,WF-D06-04,Dispute Resolution,Dispute aging,Primary,Cash,Average age of open billing or debtor disputes.,Average(today - dispute open date),Days,Weekly,Finance / Credit Control,Core,Universal,Collections / billing dispute log,Trend down; resolve within SLA,Above SLA by >20%,Within 20% of SLA,Within SLA,Primary progress metric for dispute resolution. It gives an objective read on whether this workflow is improving after the audit.,High,"Use internal target first, then industry benchmark where available",Primary progress KPI,,,,,,,
KM-D06-05,D06,WF-D06-05,Escalation Management,Days Sales Outstanding (DSO),Primary,Cash,Average number of days to collect receivables after invoicing.,(Accounts receivable / credit sales) * days in period,Days,Monthly,Finance / Credit Control,Core,Universal,ERP / AR ledger,Lower is better; trend down quarter-on-quarter,>75,46-75,<=45,Primary progress metric for escalation management. It gives an objective read on whether this workflow is improving after the audit.,High,"Use internal target first, then industry benchmark where available",Primary progress KPI,,,,,,,
KM-D06-06,D06,WF-D06-06,Bad Debt Review,Bad debt rate,Primary,Leakage,Percentage of revenue or receivables written off as bad debt.,Bad debt write-offs / credit sales,%,Monthly,Finance / Credit Control,Core,Universal,ERP / finance,Trend down; industry dependent,Above target,Near target,At or below target,Primary progress metric for bad debt review. It gives an objective read on whether this workflow is improving after the audit.,High,"Use internal target first, then industry benchmark where available",Primary progress KPI,,,,,,,
KM-D07-01,D07,WF-D07-01,Customer Onboarding Success,Time to go-live,Primary,Delivery,Average time from contract or kickoff to go-live / onboarding completion.,Average(go-live date - contract/kickoff date),Days,Monthly,Customer Success / Account Management,Core,Recurring / Contracted / Managed Accounts,PSA / onboarding tracker,Trend down within standard,Above standard by >20%,Within 20% of standard,At or below standard,Primary progress metric for customer onboarding success. It gives an objective read on whether this workflow is improving after the audit.,Medium,Use business-model benchmark and internal target,Primary progress KPI,,,,,,,
KM-D07-02,D07,WF-D07-02,Product / Service Adoption,Time to value,Primary,Retention,Average time for a customer to achieve first measurable value.,Average(value milestone date - start date),Days,Monthly,Customer Success / Account Management,Core,Recurring / Contracted / Managed Accounts,Customer success / product analytics,Trend down within standard,Above standard by >20%,Within 20% of standard,At or below standard,Primary progress metric for product / service adoption. It gives an objective read on whether this workflow is improving after the audit.,Medium,Use business-model benchmark and internal target,Primary progress KPI,,,,,,,
KM-D07-03,D07,WF-D07-03,Success Management,Time to value,Primary,Retention,Average time for a customer to achieve first measurable value.,Average(value milestone date - start date),Days,Monthly,Customer Success / Account Management,Core,Recurring / Contracted / Managed Accounts,Customer success / product analytics,Trend down within standard,Above standard by >20%,Within 20% of standard,At or below standard,Primary progress metric for success management. It gives an objective read on whether this workflow is improving after the audit.,Medium,Use business-model benchmark and internal target,Primary progress KPI,,,,,,,
KM-D07-04,D07,WF-D07-04,Renewal Management,On-time renewal start,Primary,Retention,Percentage of renewals launched before the required lead time.,Renewals started on time / renewals due,%,Weekly/Monthly,Customer Success / Account Management,Core,Recurring / Contracted / Managed Accounts,CRM / CS / contract tracker,95%+ on-time start,<85%,85%-94.9%,>=95%,Primary progress metric for renewal management. It gives an objective read on whether this workflow is improving after the audit.,Medium,Use business-model benchmark and internal target,Primary progress KPI,,,,,,,
KM-D07-05,D07,WF-D07-05,Churn Prevention,Logo churn,Primary,Retention,Percentage of customers lost in the period.,Lost customers / opening customers,%,Monthly,Customer Success / Account Management,Core,Recurring / Contracted / Managed Accounts,CRM / billing / customer success,Trend down; model-specific,Above target,Near target,At or below target,Primary progress metric for churn prevention. It gives an objective read on whether this workflow is improving after the audit.,Medium,Use business-model benchmark and internal target,Primary progress KPI,,,,,,,
KM-D07-06,D07,WF-D07-06,Save Motions,Logo churn,Primary,Retention,Percentage of customers lost in the period.,Lost customers / opening customers,%,Monthly,Customer Success / Account Management,Core,Recurring / Contracted / Managed Accounts,CRM / billing / customer success,Trend down; model-specific,Above target,Near target,At or below target,Primary progress metric for save motions. It gives an objective read on whether this workflow is improving after the audit.,Medium,Use business-model benchmark and internal target,Primary progress KPI,,,,,,,
KM-D07-07,D07,WF-D07-07,Account Planning,Plan coverage for priority accounts,Primary,Retention,Percentage of priority accounts with a current account plan.,Priority accounts with current plan / total priority accounts,%,Monthly,Customer Success / Account Management,Core,Recurring / Contracted / Managed Accounts,CRM / account planning,90%+ coverage,<75%,75%-89.9%,>=90%,Primary progress metric for account planning. It gives an objective read on whether this workflow is improving after the audit.,Medium,Use business-model benchmark and internal target,Primary progress KPI,,,,,,,
KM-D07-08,D07,WF-D07-08,Expansion / Upsell / Cross-Sell,Plan coverage for priority accounts,Primary,Retention,Percentage of priority accounts with a current account plan.,Priority accounts with current plan / total priority accounts,%,Monthly,Customer Success / Account Management,Core,Recurring / Contracted / Managed Accounts,CRM / account planning,90%+ coverage,<75%,75%-89.9%,>=90%,Primary progress metric for expansion / upsell / cross-sell. It gives an objective read on whether this workflow is improving after the audit.,Medium,Use business-model benchmark and internal target,Primary progress KPI,,,,,,,
KM-D08-01,D08,WF-D08-01,Finance Operations,Process accuracy,Primary,Quality,Percentage of finance or support transactions completed without error.,Accurate transactions / total transactions sampled,%,Monthly,Shared Services / Operations Leadership,Core,Universal,Finance ops QA / process audit,98%+ accuracy,<95%,95%-97.9%,>=98%,Primary progress metric for finance operations. It gives an objective read on whether this workflow is improving after the audit.,Medium,"Use internal target first, then industry benchmark where available",Primary progress KPI,,,,,,,
KM-D08-02,D08,WF-D08-02,HR / Skills / Capacity,Vacancy fill time,Primary,People,Average time taken to fill an approved vacancy.,Average(role filled date - vacancy approval date),Days,Monthly,Shared Services / Operations Leadership,Core,Universal,HRIS / ATS,Within hiring standard,Above standard by >20%,Within 20% of standard,At or below standard,Primary progress metric for hr / skills / capacity. It gives an objective read on whether this workflow is improving after the audit.,Medium,"Use internal target first, then industry benchmark where available",Primary progress KPI,,,,,,,
KM-D08-03,D08,WF-D08-03,IT and System Stability,System uptime,Primary,System,Percentage of scheduled time core systems are available.,Available system time / scheduled system time,%,Daily/Weekly,Shared Services / Operations Leadership,Core,Universal,Monitoring / ITSM,99%+ typical for critical systems,<98%,98%-98.9%,>=99%,Primary progress metric for it and system stability. It gives an objective read on whether this workflow is improving after the audit.,Medium,"Use internal target first, then industry benchmark where available",Primary progress KPI,,,,,,,
KM-D08-04,D08,WF-D08-04,Data Quality and Reporting,Report timeliness,Primary,Control,Percentage of scheduled reports delivered on time.,Reports delivered on time / reports scheduled,%,Weekly/Monthly,Shared Services / Operations Leadership,Core,Universal,BI tool / reporting pack,95%+ on-time,<90%,90%-94.9%,>=95%,Primary progress metric for data quality and reporting. It gives an objective read on whether this workflow is improving after the audit.,Medium-High,"Use internal target first, then industry benchmark where available",Primary progress KPI,,,,,,,
KM-D08-05,D08,WF-D08-05,Governance and Approvals,Approval turnaround,Primary,Control,"Average time taken to approve pricing, deals, or governance requests.",Average(approval date - request date),Hours/Days,Weekly,Shared Services / Operations Leadership,Core,Universal,CRM / approvals log / workflow tool,Within agreed SLA,Above SLA by >20%,Within 20% of SLA,Meets or beats SLA,Primary progress metric for governance and approvals. It gives an objective read on whether this workflow is improving after the audit.,Medium-High,"Use internal target first, then industry benchmark where available",Primary progress KPI,,,,,,,
KM-D08-06,D08,WF-D08-06,Vendor / Partner Management,Vendor SLA attainment,Primary,Vendor,Percentage of vendor or partner commitments achieved within SLA.,Vendor SLA-compliant events / total vendor SLA events,%,Monthly,Shared Services / Operations Leadership,Core,Universal,Vendor scorecard / procurement,95%+ attainment,<90%,90%-94.9%,>=95%,Primary progress metric for vendor / partner management. It gives an objective read on whether this workflow is improving after the audit.,Medium,"Use internal target first, then industry benchmark where available",Primary progress KPI,,,,,,,
KM-D08-07,D08,WF-D08-07,Risk and Compliance,Control completion,Primary,Control,Percentage of required controls completed on time.,Completed controls / scheduled controls,%,Monthly,Shared Services / Operations Leadership,Core,Universal,Risk / compliance tracker,95%+ completion,<90%,90%-94.9%,>=95%,Primary progress metric for risk and compliance. It gives an objective read on whether this workflow is improving after the audit.,Medium-High,"Use internal target first, then industry benchmark where available",Primary progress KPI,,,,,,,
