workflow_id,domain_id,workflow_name,workflow_description,display_order,workflow_objective,typical_evidence,kpi_examples
WF-D01-01,D01,Strategy and Growth Planning,"Assesses whether strategic priorities, growth goals, and execution plans are clearly defined, owned, and translated into operating actions.",1,"strategic priorities are translated into funded initiatives, owners, milestones, and review routines","planning calendar, priority register, and meeting pack or planning deck","on-time planning cycle completion, initiative milestone attainment, and variance to plan"
WF-D01-02,D01,Customer and Segment Definition,"Assesses whether target customers, segments, buying needs, and commercial fit are clearly defined and used consistently across teams.",2,the business targets the right customers and segments with clear qualification and value propositions,"ICP or segmentation model, qualification criteria, and customer taxonomy in CRM/ERP","qualified lead rate by segment, win rate by segment, and revenue mix by segment"
WF-D01-03,D01,Offer and Service Design,"Assesses whether offers and services are clearly structured, scoped, documented, and operationally deliverable at the promised standard.",3,"offers are commercially viable, operationally deliverable, and clearly scoped before they are sold","offer catalogue, service blueprint, and commercial rules","gross margin by offer, delivery variance, and exception rate to standard"
WF-D01-04,D01,Pricing Model Design,"Assesses whether pricing models, margin assumptions, and commercial guardrails are intentionally designed and periodically reviewed.",4,"pricing reflects value, protects margin, and can be applied consistently across teams and systems","price book, discount matrix, and approval matrix","average discount to list, gross margin, and price realization"
WF-D01-05,D01,Accountability and Ownership,"Assesses whether critical commercial and operational responsibilities are assigned, understood, and enforced across the business.",5,"teams know who decides, who executes, and who is accountable for operational outcomes","RACI, org accountability map, and escalation matrix","open issue aging, decision turnaround, and cross-functional handoff delays"
WF-D01-06,D01,Management Cadence,"Assesses whether leadership runs a regular operating cadence to review performance, decisions, risks, and execution priorities.",6,"leaders review performance, risk, and execution at the right rhythm and close actions quickly","management calendar, standard agenda, and action log","meeting adherence, action closure rate, and decision turnaround time"
WF-D01-07,D01,Data and Reporting Setup,"Assesses whether the business has reliable data, core KPIs, and reporting routines to support timely and informed decisions.",7,"management decisions are supported by trusted definitions, reliable reporting, and KPI ownership","data dictionary, report catalogue, and KPI owner list","report timeliness, data completeness, and reconciliation exceptions"
WF-D01-08,D01,Systems Landscape,"Assesses whether the systems environment supports execution, control, visibility, integration, and scale readiness.",8,"core systems support the operating model with minimal duplicate entry, manual workarounds, or integration gaps","application landscape, integration map, and system usage standards","integration failure rate, system adoption, and manual workaround volume"
WF-D02-01,D02,Marketing Planning,"Assesses whether marketing priorities, channel plans, budgets, and targets are intentionally set and linked to pipeline outcomes.",1,"marketing activity is aligned to targets, segments, budget, channels, and campaign objectives","planning calendar, priority register, and meeting pack or planning deck","on-time planning cycle completion, initiative milestone attainment, and variance to plan"
WF-D02-02,D02,Campaign Execution,"Assesses whether campaigns are executed consistently, monitored effectively, and optimized against response and conversion goals.",2,"campaigns launch on time, follow standards, and generate measurable qualified response","campaign brief, channel plan, and lead capture standards","MQL volume, cost per qualified lead, and channel conversion"
WF-D02-03,D02,Inbound Capture,"Assesses whether inbound demand is captured accurately, logged quickly, and made actionable for follow-up and reporting.",3,all inbound enquiries and conversions are captured completely and routed quickly,"web forms, call capture script, and capture-to-CRM workflow","speed to lead, capture completeness, and lead abandonment"
WF-D02-04,D02,Outbound Prospecting,"Assesses whether outbound prospecting is targeted, repeatable, and managed with clear activity standards and response tracking.",4,outbound activity targets the right accounts with consistent messaging and follow-up,"prospecting sequence, account list criteria, and activity standards","connect rate, meeting booked rate, and outbound-sourced pipeline"
WF-D02-05,D02,Lead Qualification,Assesses whether leads are qualified against clear criteria so sales effort is focused on commercially viable opportunities.,5,"sales only receives leads that meet defined fit, need, and readiness criteria","qualification framework, stage entry criteria, and rejection reason codes","qualification-to-win rate, recycle rate, and accepted lead rate"
WF-D02-06,D02,Lead Routing and Handoff,"Assesses whether qualified leads are routed to the right owner quickly and handed off without delay, duplication, or loss.",6,qualified leads reach the right owner quickly with full context and SLA responsibility,"handoff template, acceptance checklist, and SLA rules","handoff SLA attainment, handoff rejection rate, and rework volume"
WF-D03-01,D03,Discovery and Qualification,"Assesses whether sales discovery and qualification are structured enough to validate need, fit, buying process, and deal quality early.",1,"opportunities are validated for pain, fit, authority, urgency, and commercial viability","qualification framework, stage entry criteria, and rejection reason codes","qualification-to-win rate, recycle rate, and accepted lead rate"
WF-D03-02,D03,Opportunity Management,"Assesses whether opportunities are progressed through a defined pipeline with clear stage criteria, ownership, and visibility.",2,"opportunities move through the pipeline based on evidence, not optimism","pipeline stages, deal review template, and next-step discipline rules","stage conversion, sales cycle length, and forecast accuracy"
WF-D03-03,D03,Proposal and Quoting,"Assesses whether proposals and quotes are accurate, timely, commercially sound, and aligned to approved scope and pricing.",3,"proposals and quotes are accurate, timely, competitive, and aligned to approved scope","quote template, proposal checklist, and approval log","quote turnaround time, proposal acceptance rate, and quote rework rate"
WF-D03-04,D03,Pricing and Discount Approval,Assesses whether discounts and pricing exceptions follow controlled approval rules that protect margin and commercial discipline.,4,non-standard pricing is reviewed quickly while protecting margin and governance,"discount authority matrix, deal desk process, and margin threshold rules","approval turnaround, average discount, and margin at approval"
WF-D03-05,D03,Stakeholder Access,"Assesses whether sellers gain access to the right decision-makers, influencers, and stakeholders needed to advance deals effectively.",5,"sales engages the right economic, technical, and user stakeholders early enough to reduce deal risk","account map, stakeholder plan, and deal notes","multi-threaded deal rate, win rate with decision-maker access, and late-stage loss reasons"
WF-D03-06,D03,Follow-Up Management,"Assesses whether follow-up activity is timely, systematic, and disciplined enough to maintain momentum and reduce deal slippage.",6,"buyers receive timely next steps, updates, and agreed actions throughout the cycle","pipeline stages, deal review template, and next-step discipline rules","stage conversion, sales cycle length, and forecast accuracy"
WF-D03-07,D03,Deal Review Cadence,"Assesses whether sales leadership reviews pipeline health, deal risk, and conversion performance through a regular management cadence.",7,"risky deals are reviewed early with decisions, support, and escalation","management calendar, standard agenda, and action log","meeting adherence, action closure rate, and decision turnaround time"
WF-D03-08,D03,Closing Process,"Assesses whether deals are closed through a controlled process that secures approvals, documentation, commitment, and next-step readiness.",8,"commercial, legal, procurement, and internal approvals are completed without avoidable last-minute blockage","close plan, contract checklist, and approval status log","close-plan completion, late-stage slip rate, and signature turnaround"
WF-D04-01,D04,Sales-to-Delivery Handoff,"Assesses whether sold work is transferred from sales into delivery with full context, clear scope, and agreed accountability.",1,"delivery receives complete commercial, scope, customer, and success context before mobilisation","handoff template, acceptance checklist, and SLA rules","handoff SLA attainment, handoff rejection rate, and rework volume"
WF-D04-02,D04,Onboarding / Implementation,"Assesses whether new customers or projects are onboarded in a structured way that supports readiness, adoption, and early success.",2,"new customers are activated quickly with clear plans, ownership, and adoption milestones","onboarding plan, customer kickoff template, and go-live checklist","time to go-live, time to first value, and onboarding completion rate"
WF-D04-03,D04,Project Delivery,"Assesses whether project work is planned, executed, tracked, and governed to meet scope, time, cost, and quality expectations.",3,"projects are delivered to agreed scope, quality, timeline, and commercial expectations","delivery plan, project governance pack, and issue/risk register","on-time delivery, budget variance, and defect/rework rate"
WF-D04-04,D04,Service Operations,"Assesses whether ongoing service operations run consistently with clear workflows, workload control, and performance visibility.",4,ongoing service requests are resolved predictably and at the expected experience level,"service catalogue, triage rules, and ticket workflow","first response time, resolution SLA attainment, and repeat incident rate"
WF-D04-05,D04,Resource Planning,"Assesses whether people, time, and capacity are planned effectively to meet delivery demand without avoidable delays or overrun.",5,the right capacity and skills are available when demand occurs,"capacity plan, skills matrix, and resource forecast","utilization, resource fill rate, and capacity forecast accuracy"
WF-D04-06,D04,SLA Management,"Assesses whether service levels are defined, monitored, and managed so commitments are met and issues are escalated early.",6,"service commitments are clearly defined, tracked, and recovered when missed","SLA matrix, breach log, and service review pack","SLA attainment, breach volume, and time to recover"
WF-D04-07,D04,Quality Assurance,"Assesses whether quality checks, reviews, and corrective controls are embedded to protect delivery standards and customer outcomes.",7,delivery quality is checked before defects reach customers or billing,"QA checklist, defect log, and approval gate","defect rate, rework rate, and escaped defects"
WF-D04-08,D04,Change and Scope Control,"Assesses whether changes to scope, effort, or commercial terms are controlled so delivery and revenue remain aligned.",8,"scope, change requests, and commercial impacts are approved before work proceeds","change request form, scope baseline, and approval log","approved change rate, unbilled change value, and scope variance"
WF-D05-01,D05,Billable Event Definition,Assesses whether billable events are clearly defined so earned revenue is identified consistently and without interpretation gaps.,1,"the business knows exactly which events, products, or services create a valid billing trigger","billing rules, milestone acceptance criteria, and billable event register","billable event capture rate, unbilled revenue aging, and trigger-to-invoice lead time"
WF-D05-02,D05,Delivery-to-Billing Trigger,"Assesses whether completed delivery, milestones, or usage trigger billing promptly and reliably without leakage between functions.",2,completed work or billable milestones are converted into bill-ready signals immediately,"billing rules, milestone acceptance criteria, and billable event register","billable event capture rate, unbilled revenue aging, and trigger-to-invoice lead time"
WF-D05-03,D05,Usage / Timesheet Capture,"Assesses whether usage, time, or other billable inputs are captured accurately and on time to support complete invoicing.",3,"all billable time, usage, and units are recorded completely and accurately","timesheet policy, usage rules, and approval workflow","timesheet compliance, usage capture completeness, and late-entry rate"
WF-D05-04,D05,Billing Setup,"Assesses whether billing rules, customer setups, and invoice prerequisites are maintained correctly before revenue is invoiced.",4,"customer, contract, tax, price, and billing rule setup is correct before invoices are produced","billing setup form, contract details, and master data rules","setup accuracy, invoice failure rate, and setup turnaround time"
WF-D05-05,D05,Invoice Generation,"Assesses whether invoices are generated accurately, on schedule, and in line with contract terms and billable events.",5,"invoices are created on time, in full, and aligned to the commercial agreement","invoice run calendar, exception queue, and invoice generation rules","invoice-on-time rate, invoice error rate, and billing throughput"
WF-D05-06,D05,Invoice Review and Release,Assesses whether invoices are reviewed and released through appropriate controls that reduce billing error and delay.,6,billing exceptions are resolved and invoices are approved without slowing cash,"invoice run calendar, exception queue, and invoice generation rules","invoice-on-time rate, invoice error rate, and billing throughput"
WF-D05-07,D05,Credit Note Management,"Assesses whether credit notes are raised, approved, and tracked under disciplined controls that protect revenue integrity.",7,credits are tightly governed so genuine corrections are handled without uncontrolled margin leakage,"credit note policy, dispute log, and reason code taxonomy","credit note value, dispute aging, and repeat dispute rate"
WF-D05-08,D05,Billing Dispute Handling,"Assesses whether billing disputes are resolved quickly and systematically to reduce rework, delay, and preventable revenue loss.",8,"billing disputes are resolved fast, root-caused, and prevented from recurring","credit note policy, dispute log, and reason code taxonomy","credit note value, dispute aging, and repeat dispute rate"
WF-D06-01,D06,Credit Control,Assesses whether customer credit risk is reviewed and controlled to protect cash flow and limit exposure to slow or failed payment.,1,"credit exposure is assessed, limits are maintained, and overdue risk is acted on early","credit policy, limit register, and risk review log","over-limit exposure, high-risk debtor balance, and credit-review completion"
WF-D06-02,D06,Payment Terms Setup,"Assesses whether payment terms are set deliberately, approved appropriately, and aligned to commercial and risk objectives.",2,approved payment terms are negotiated appropriately and recorded correctly in contracts and systems,"terms policy, contract clause standards, and system setup record","average payment terms, terms exception rate, and cash-conversion impact"
WF-D06-03,D06,Collections Follow-Up,"Assesses whether collections activity is timely, systematic, and visible enough to convert invoices into cash efficiently.",3,overdue accounts are pursued consistently with structured action and escalation,"collections playbook, follow-up schedule, and aged debt tracker","DSO, collections effectiveness index, and promise-to-pay kept rate"
WF-D06-04,D06,Dispute Resolution,"Assesses whether payment disputes are owned, resolved quickly, and prevented from stalling cash collection unnecessarily.",4,"payment blockers are resolved quickly across finance, sales, and operations","dispute workflow, case log, and resolution SLA","dispute aging, resolved disputes per period, and cash blocked by dispute"
WF-D06-05,D06,Escalation Management,Assesses whether overdue accounts are escalated through clear rules and management action before debtor risk worsens.,5,high-risk overdue accounts are escalated with clear authority and next-step decisions,"collections playbook, follow-up schedule, and aged debt tracker","DSO, collections effectiveness index, and promise-to-pay kept rate"
WF-D06-06,D06,Bad Debt Review,Assesses whether potential write-offs and bad debt exposure are reviewed early and managed with clear accountability.,6,"aged debt is reviewed objectively, provisioned appropriately, and fed back into prevention","bad debt review pack, provision policy, and write-off approvals","bad debt rate, recovery rate, and write-off aging"
WF-D07-01,D07,Customer Onboarding Success,"Assesses whether onboarding sets customers up effectively for adoption, value realization, and long-term retention.",1,customers complete early setup and reach first value quickly,"onboarding plan, customer kickoff template, and go-live checklist","time to go-live, time to first value, and onboarding completion rate"
WF-D07-02,D07,Product / Service Adoption,Assesses whether customers adopt the product or service as intended and reach the behaviors linked to commercial success.,2,customers use the product or service deeply enough to receive ongoing value,"success plan, health score logic, and engagement plan","time to value, adoption depth, and health score coverage"
WF-D07-03,D07,Success Management,"Assesses whether customer success ownership, review routines, and intervention mechanisms are in place to protect account health.",3,"customer health, risks, and opportunities are actively managed throughout the lifecycle","success plan, health score logic, and engagement plan","time to value, adoption depth, and health score coverage"
WF-D07-04,D07,Renewal Management,"Assesses whether renewals are forecast, prepared, negotiated, and secured through a controlled process before expiry risk builds.",4,"renewals are forecast, prepared, negotiated, and closed before contract expiry","renewal calendar, at-risk renewal list, and commercial playbook","on-time renewal start, gross renewal rate, and renewal forecast accuracy"
WF-D07-05,D07,Churn Prevention,Assesses whether churn risks are identified early and addressed through structured retention actions rather than reactive rescue.,5,risk signals are spotted early and intervention plans are executed before loss occurs,"risk signal framework, save playbook, and risk review pack","logo churn, save rate, and at-risk intervention lead time"
WF-D07-06,D07,Save Motions,"Assesses whether at-risk customers are managed through defined save actions, decision rules, and commercial recovery options.",6,"at-risk customers receive structured save offers, executive intervention, or commercial remedies when appropriate","risk signal framework, save playbook, and risk review pack","logo churn, save rate, and at-risk intervention lead time"
WF-D07-07,D07,Account Planning,"Assesses whether account plans exist for priority customers and guide retention, relationship management, and growth actions.",7,"top accounts have clear relationship maps, growth plans, and retention strategies","account plan template, relationship map, and expansion tracker","plan coverage for priority accounts, expansion pipeline, and net revenue retention"
WF-D07-08,D07,Expansion / Upsell / Cross-Sell,"Assesses whether expansion, upsell, and cross-sell opportunities are identified, qualified, and progressed in a repeatable way.",8,existing customers are converted into additional revenue through relevant offers and timing,"account plan template, relationship map, and expansion tracker","plan coverage for priority accounts, expansion pipeline, and net revenue retention"
WF-D08-01,D08,Finance Operations,"Assesses whether finance operations support control, visibility, accuracy, and timely decision-making across the business.",1,"finance workflows support clean revenue, cost control, cash, and decision support","finance SOPs, close or process checklist, and control logs","process accuracy, close/process timeliness, and exception volume"
WF-D08-02,D08,HR / Skills / Capacity,"Assesses whether staffing, skills, and capacity are planned and managed to support execution quality and growth.",2,"people capacity, skills, and accountability support the operating model","workforce plan, skills matrix, and training plan","vacancy fill time, skill coverage, and training completion"
WF-D08-03,D08,IT and System Stability,"Assesses whether core technology and systems remain stable, secure, and fit for operational use without avoidable disruption.",3,"systems remain available, integrated, secure, and supportive of daily execution","incident process, change calendar, and service health dashboard","system uptime, incident resolution time, and repeat incident rate"
WF-D08-04,D08,Data Quality and Reporting,"Assesses whether data quality, reporting controls, and insight generation support trustworthy operational and commercial management.",4,"data is complete, accurate, timely, and trusted for operational decisions","data dictionary, report catalogue, and KPI owner list","report timeliness, data completeness, and reconciliation exceptions"
WF-D08-05,D08,Governance and Approvals,"Assesses whether approvals, delegations, and governance controls are clear enough to support disciplined decision-making.",5,approval rights are clear and decisions happen without uncontrolled delay,"delegation of authority, approval workflow, and governance calendar","approval turnaround, exception approvals, and policy breach incidents"
WF-D08-06,D08,Vendor / Partner Management,"Assesses whether key vendors and partners are selected, governed, and reviewed in a way that protects business performance.",6,"external partners deliver to expected quality, cost, and service levels","vendor scorecard, contract/SOW, and service review notes","vendor SLA attainment, cost variance, and vendor issue recurrence"
WF-D08-07,D08,Risk and Compliance,"Assesses whether risk, compliance, and control obligations are understood, monitored, and managed as part of normal operations.",7,"key operational, financial, legal, and security risks are controlled and evidenced","risk register, control matrix, and compliance evidence pack","control completion, breach count, and overdue remediation actions"
